COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Colombia,JAN2014,January 2014,2014,1,January,Hydro,3903.977,1,47249.092,,0.6845822883630496
Colombia,JAN2014,January 2014,2014,1,January,Wind,5.648,2,69.482,,0.0009904056209026
Colombia,JAN2014,January 2014,2014,1,January,Solar,1.065,3,8.947,,0.0001867531845363
Colombia,JAN2014,January 2014,2014,1,January,Total combustible fuels,1792.024,7,21699.775,,0.3142405528315114
Colombia,JAN2014,January 2014,2014,1,January,Coal,521.938,8,5152.09,,0.0915244916718601
Colombia,JAN2014,January 2014,2014,1,January,Oil,139.219,9,1918.191,,0.0244127620638173
Colombia,JAN2014,January 2014,2014,1,January,Natural gas,1031.146,10,13365.401,,0.1808167128844266
Colombia,JAN2014,January 2014,2014,1,January,Combustible renewables,99.721,11,1264.093,,0.0174865862114074
Colombia,JAN2014,January 2014,2014,1,January,Net electricity production,5702.714,14,69027.299,,1.0
Colombia,JAN2014,January 2014,2014,1,January,Total imports,0.021,15,47.0,,3.682457159871598e-06
Colombia,JAN2014,January 2014,2014,1,January,Total exports,146.888,16,849.0,,0.0257575603475818
Colombia,JAN2014,January 2014,2014,1,January,Electricity supplied,5555.847,17,68225.299,,0.974246122109578
Colombia,JAN2014,January 2014,2014,1,January,Distribution losses,536.164,19,5850.0,,0.0940190933650188
Colombia,JAN2014,January 2014,2014,1,January,Final consumption,5019.684,20,62375.299,,0.880227204099662
Colombia,JAN2014,January 2014,2014,1,January,Electricity trade,146.867,21,802.0,,0.0257538778904219
Colombia,JAN2014,January 2014,2014,1,January,Renewables,4010.411,22,48591.614,,0.703246033379896
Colombia,JAN2014,January 2014,2014,1,January,Non-renewables,1692.303,23,20435.682,,0.296753966620104
Colombia,JAN2014,January 2014,2014,1,January,Others,139.219,24,1918.191,,0.0244127620638173
Colombia,JAN2014,January 2014,2014,1,January,Other renewables aggregated,99.721,25,1264.093,,0.0174865862114074
Colombia,JAN2014,January 2014,2014,1,January,Low carbon,4010.411,26,48591.614,,0.703246033379896
Colombia,JAN2014,January 2014,2014,1,January,Fossil fuels,1692.303,27,20435.682,,0.296753966620104
Colombia,FEB2014,February 2014,2014,2,February,Hydro,3598.26,1,47249.092,,0.6707090212978531
Colombia,FEB2014,February 2014,2014,2,February,Wind,5.415,2,69.482,,0.0010093460034371
Colombia,FEB2014,February 2014,2014,2,February,Solar,0.831,3,8.947,,0.0001548968659014
Colombia,FEB2014,February 2014,2014,2,February,Total combustible fuels,1760.355,7,21699.775,,0.3281269222309622
Colombia,FEB2014,February 2014,2014,2,February,Coal,413.943,8,5152.09,,0.077158211025078
Colombia,FEB2014,February 2014,2014,2,February,Oil,152.263,9,1918.191,,0.0283815421092069
Colombia,FEB2014,February 2014,2014,2,February,Natural gas,1095.052,10,13365.401,,0.204115671238392
Colombia,FEB2014,February 2014,2014,2,February,Combustible renewables,99.097,11,1264.093,,0.0184714978582852
Colombia,FEB2014,February 2014,2014,2,February,Net electricity production,5364.86,14,69027.299,,1.0
Colombia,FEB2014,February 2014,2014,2,February,Total imports,0.029,15,47.0,,5.405546463467826e-06
Colombia,FEB2014,February 2014,2014,2,February,Total exports,81.619,16,849.0,,0.0152136309241993
Colombia,FEB2014,February 2014,2014,2,February,Electricity supplied,5283.27,17,68225.299,,0.9847917746222644
Colombia,FEB2014,February 2014,2014,2,February,Distribution losses,398.35,19,5850.0,,0.0742517046111175
Colombia,FEB2014,February 2014,2014,2,February,Final consumption,4884.92,20,62375.299,,0.9105400700111468
Colombia,FEB2014,February 2014,2014,2,February,Electricity trade,81.59,21,802.0,,0.0152082253777358
Colombia,FEB2014,February 2014,2014,2,February,Renewables,3703.603,22,48591.614,,0.6903447620254769
Colombia,FEB2014,February 2014,2014,2,February,Non-renewables,1661.258,23,20435.682,,0.309655424372677
Colombia,FEB2014,February 2014,2014,2,February,Others,152.263,24,1918.191,,0.0283815421092069
Colombia,FEB2014,February 2014,2014,2,February,Other renewables aggregated,99.097,25,1264.093,,0.0184714978582852
Colombia,FEB2014,February 2014,2014,2,February,Low carbon,3703.603,26,48591.614,,0.6903447620254769
Colombia,FEB2014,February 2014,2014,2,February,Fossil fuels,1661.258,27,20435.682,,0.309655424372677
Colombia,MAR2014,March 2014,2014,3,March,Hydro,4205.913,1,47249.092,,0.7211148192503576
Colombia,MAR2014,March 2014,2014,3,March,Wind,6.189,2,69.482,,0.001061120288589
Colombia,MAR2014,March 2014,2014,3,March,Solar,0.665,3,8.947,,0.0001140159948152
Colombia,MAR2014,March 2014,2014,3,March,Total combustible fuels,1619.748,7,21699.775,,0.277710044466238
Colombia,MAR2014,March 2014,2014,3,March,Coal,402.284,8,5152.09,,0.0689726473056648
Colombia,MAR2014,March 2014,2014,3,March,Oil,141.402,9,1918.191,,0.0242437439080739
Colombia,MAR2014,March 2014,2014,3,March,Natural gas,975.374,10,13365.401,,0.1672304314691003
Colombia,MAR2014,March 2014,2014,3,March,Combustible renewables,100.687,11,1264.093,,0.0172630503307749
Colombia,MAR2014,March 2014,2014,3,March,Net electricity production,5832.515,14,69027.299,,1.0
Colombia,MAR2014,March 2014,2014,3,March,Total imports,0.12,15,47.0,,2.0574314853883782e-05
Colombia,MAR2014,March 2014,2014,3,March,Total exports,69.174,16,849.0,,0.0118600637975213
Colombia,MAR2014,March 2014,2014,3,March,Electricity supplied,5763.461,17,68225.299,,0.9881605105173326
Colombia,MAR2014,March 2014,2014,3,March,Distribution losses,620.585,19,5850.0,,0.1064009265299789
Colombia,MAR2014,March 2014,2014,3,March,Final consumption,5142.876,20,62375.299,,0.8817595839873537
Colombia,MAR2014,March 2014,2014,3,March,Electricity trade,69.054,21,802.0,,0.0118394894826674
Colombia,MAR2014,March 2014,2014,3,March,Renewables,4313.454,22,48591.614,,0.7395530058645369
Colombia,MAR2014,March 2014,2014,3,March,Non-renewables,1519.06,23,20435.682,,0.2604468226828392
Colombia,MAR2014,March 2014,2014,3,March,Others,141.402,24,1918.191,,0.0242437439080739
Colombia,MAR2014,March 2014,2014,3,March,Other renewables aggregated,100.687,25,1264.093,,0.0172630503307749
Colombia,MAR2014,March 2014,2014,3,March,Low carbon,4313.454,26,48591.614,,0.7395530058645369
Colombia,MAR2014,March 2014,2014,3,March,Fossil fuels,1519.06,27,20435.682,,0.2604468226828392
Colombia,APR2014,April 2014,2014,4,April,Hydro,3615.005,1,47249.092,,0.6510123182525593
Colombia,APR2014,April 2014,2014,4,April,Wind,6.694,2,69.482,,0.0012054966613829
Colombia,APR2014,April 2014,2014,4,April,Solar,0.56,3,8.947,,0.0001008482417649
Colombia,APR2014,April 2014,2014,4,April,Total combustible fuels,1930.638,7,21699.775,,0.3476811567581468
Colombia,APR2014,April 2014,2014,4,April,Coal,515.133,8,5152.09,,0.0927683166519536
